subgenus	group	genus	species	extraction	island	locality	sex	tissue	Ef1g	fz4	Gpdh	Pgi	Yp2
	crucigera	Drosophila	pullipes	M09086	Hawaii	Stainback 3600’ trail, 12 Jan 2010	Female	Abdomen	JN815433	JN815613	JN815770	JN815934	JN816126
	cyrtoloma	Drosophila	cyrtoloma	M09148	Maui	Waikamoi, Haiku Uka, 20 Aug 2009	Male	Genitalia	JN815479	JN815644	JN815806	JN815970	JN816172
	cyrtoloma	Drosophila	hanaulae	M09149	Maui	Puu Kukui trail, 5 Jun 2009	Male	Genitalia	JN815480	JN815645	JN815807	JN815971	JN816173
	cyrtoloma	Drosophila	ingens	M09150	Maui	Puu Kukui trail, 5 Jun 2009	Male	Genitalia	JN815481	JN815646	JN815808	JN815972	JN816174
	cyrtoloma	Drosophila	melanocephala	M09185	Maui	Waikamoi, Haiku Uka, 21 Dec 2010	Male	Genitalia	JN815512	JN815671	JN815834	JN815998	JN816201
	cyrtoloma	Drosophila	neoperkinsi	M09186	Molokai	Pepeopae trail, 14 Dec 2010	Male	Genitalia	JN815513	JN815672	JN815835	JN815999	JN816202
	cyrtoloma	Drosophila	oahuensis	M09246	Oahu	Waianae-Kaala Trail, 12 Oct 2011	Male	Genitalia	JQ845045	JQ845049	JQ845053	JQ845057	JQ845061
	discreta	Drosophila	discreta	M09167	Maui	Waikamoi, Haiku Uka, 21 Dec 2010	Male	Genitalia	JN815494	JN815658	JN815821	JN815985	JN816188
	discreta	Drosophila	fasciculisetae	M09008	Maui	Maile Trail, 1 Jun 2009	Male	Body soak	JN815356	JN815567	JN815721	JN815885	JN816049
	discreta	Drosophila	fasciculisetae	M09169	Molokai	Puu Kolekole trail, 16 Dec 2010	Female	Genitalia	JN815496	JN815660	JN815823	JN815987	JN816190
	discreta	Drosophila	glabriapex	M09033	Kauai	Pihea Trail, 22 Jun 2009	Female	Body soak	JN815381	JN815570	JN815726	JN815890	JN816073
	discreta	Drosophila	lineosetae	M09235	Maui	Hanaula, Pohakea Gulch, 28 May 2011	Female	Genitalia	JN815553	JN815707	JN815871	JN816034	JN816237
	discreta	Drosophila	pilimana	M09210	Oahu	Manuwai Gulch, 1 Mar 2011	Male	Genitalia	JN815529	JN815686	JN815849	JN816013	JN816215
	distinguenda	Drosophila	distinguenda	M09092	Oahu	Kaluaa Gulch, 26 Jan 2010	Female	Body soak	JN815439	JN815618	JN815776	JN815940	JN816132
	distinguenda	Drosophila	divaricata	M09215	Oahu	Ekahanui Gulch, 2 Mar 2011	Male	Genitalia	JN815534	JN815689	JN815852	JN816016	JN816218
	distinguenda	Drosophila	inedita	M09034	Oahu	Pia Valley, 26 Sep 2009	Male	Body soak	JN815382		JN815727	JN815891	JN816074
Elmomyza		Scaptomyza	cyrtandrae	M09120	Hawaii	Army Rd. makai, 8 Dec 2009	Male	Body soak	JN815467	JN815636	JN815794	JN815958	JN816160
Elmomyza		Scaptomyza	n_sp	M09016	Kauai	Nualolo Trail, 23 Jun 2009	Female	Body soak	JN815364	JN815569	JN815725	JN815889	JN816057
Elmomyza		Scaptomyza	scoloplichas	M09232	Hawaii	Kilohana exclosure, 25 Nov 2009	Male	Body soak	JN815550		JN815868	JN816031	JN816234
Engiscaptomyza		Scaptomyza	amplilobus	M09121	Kauai	Nualolo Trail, 24 Jan 2010	Male	Body soak	JN815468	JN815637	JN815795	JN815959	JN816161
Engiscaptomyza		Scaptomyza	crassifemur	M09124	Maui	Piinaau Ridge east, 2 Jun 2009	Male	Body soak	JN815471		JN815798	JN815962	JN816164
Engiscaptomyza		Scaptomyza	inflatus	M09123	Oahu	Palikea, 23 Sep 2009	Male	Body soak	JN815470		JN815797	JN815961	JN816163
Engiscaptomyza		Scaptomyza	reducta	M09014	Hawaii	Kukuiopae, 5 Aug 2009	Male	Body soak	JN815362		JN815723	JN815887	JN816055
Exalloscaptomyza		Scaptomyza	caliginosa	M09245	Hawaii	Kipuka Puaulu, 27 Aug 2011	Male	Abdomen	JN815560	JN815714	JN815878	JN816041	JN816245
Grimshawomyia		Scaptomyza	nasalis	M09125	Maui	Piinaau Ridge east, 2 Jun 2009	Female	Body soak	JN815472	JN815639	JN815799	JN815963	JN816165
Grimshawomyia		Scaptomyza	undulata	M09015	Hawaii	Kilohana exclosure, 3 Aug 2009	Female	Body soak	JN815363	JN815568	JN815724	JN815888	JN816056
	haleakalae	Drosophila	iki	M09222	Hawaii	Kukuiopae, 11 Sep 2010	Male	Genitalia	JN815540	JN815695	JN815858	JN816022	JN816224
	haleakalae	Drosophila	insignita	M09223	Oahu	Pahole Gulch, 27 Mar 2010	Male	Genitalia	JN815541	JN815696	JN815859	JN816023	JN816225
	haleakalae	Drosophila	melanoloma	M09224	Molokai	Pepeopae trail, 14 Dec 2010	Male	Genitalia	JN815542	JN815697	JN815860	JN816024	JN816226
	haleakalae	Drosophila	ochropleura	M09225	Hawaii	Kukuiopae, 11 Sep 2010	Male	Genitalia	JN815543	JN815698	JN815861	JN816025	JN816227
	hawaiiensis	Drosophila	flexipes	M09156	Oahu	Makaha Valley, 10 Aug 2010	Male	Genitalia	JN815487	JN815651	JN815813	JN815977	JN816180
	hawaiiensis	Drosophila	formella	M09035	Hawaii	Kukuiopae, 5 Aug 2009	Female	Body soak	JN815383	JN815571	JN815728	JN815892	JN816075
	hawaiiensis	Drosophila	gradata	M09036	Oahu	Palikea, 23 Sep 2009	Male	Body soak	JN815384	JN815572	JN815729	JN815893	JN816076
	hawaiiensis	Drosophila	hawaiiensis	M09037	Hawaii	Laupahoehoe FR, 24 Jul 2009	Female	Body soak	JN815385	JN815573	JN815730	JN815894	JN816077
	hawaiiensis	Drosophila	musaphilia	M09088	Kauai	Nualolo Trail, 23 Jan 2010	Female	Body soak	JN815435	JN815614	JN815772	JN815936	JN816128
	hawaiiensis	Drosophila	recticilia	M09038	Maui	Maile Trail, 1 Jun 2009	Male	Body soak	JN815386	JN815574	JN815731	JN815895	JN816078
	hawaiiensis	Drosophila	silvarentis	M09089	Hawaii	Kukuiopae, 29 Dec 2009	Female	Body soak	JN815436	JN815615	JN815773	JN815937	JN816129
