subgenus	genus	species	genus_describer	describer	BL	WL	BWL	sex	type	notes
	Drosophila	humeralis	sensu lato	Grimshaw			2.5	male		
	Drosophila	humeralis	sensu lato	Grimshaw	2.25-2.50	2.50-2.70		female		
	Titanochaeta	ichneumon	Knab	Knab			1.7-1.9	male		
	Titanochaeta	ichneumon	Knab	Knab				female		
	Drosophila	iki	sensu lato	Bryan			3.75-4.00	male		
	Drosophila	iki	sensu lato	Bryan				female		
	Drosophila	illusiopolita	sensu lato	n sp	2.2-2.5	2.4-2.6		male		
	Drosophila	illusiopolita	sensu lato	n sp				female		
	Drosophila	imitator	sensu lato	n sp	2.6	2.85		male		
	Drosophila	imitator	sensu lato	n sp				female		
	Drosophila	imparisetae	sensu lato	n sp	3	3.8		male		
	Drosophila	imparisetae	sensu lato	n sp	3.25-3.75	3.75-4.25		female		
	Drosophila	improcera	sensu lato	n sp	2.5	2.8		male		
	Drosophila	improcera	sensu lato	n sp	2.80-3.00	3.00-3.25		female		
Trogloscaptomyza	Scaptomyza	inaequalis	Frey	Grimshaw	2	2.5		male		
Trogloscaptomyza	Scaptomyza	inaequalis	Frey	Grimshaw				female		
	Drosophila	incognita	sensu lato	n sp	3	3.5		male		
	Drosophila	incognita	sensu lato	n sp				female		
	Drosophila	incompleta	sensu lato	n sp	3.2	3.6		male		
	Drosophila	incompleta	sensu lato	n sp				female		
	Drosophila	inedita	sensu lato	n sp	3.40-3.75	3.80-4.20		male		
	Drosophila	inedita	sensu lato	n sp	3.5-3.8	4.0-4.5		female		
Trogloscaptomyza	Scaptomyza	inermis	Frey	n sp	1.8	2.1		male		
Trogloscaptomyza	Scaptomyza	inermis	Frey	n sp				female		
Trogloscaptomyza	Scaptomyza	infurcula	Frey	n sp	1.7	2		male		
Trogloscaptomyza	Scaptomyza	infurcula	Frey	n sp				female		
	Drosophila	infuscata	sensu lato	Grimshaw	3	3.2		male		
	Drosophila	infuscata	sensu lato	Grimshaw	3.1	3.4		female		
Trogloscaptomyza	Scaptomyza	innotabilis	Frey	n sp	2	2.3		male		
Trogloscaptomyza	Scaptomyza	innotabilis	Frey	n sp	2.1	2.4		female		
	Drosophila	insignita	sensu lato	n. sp,	2.5	2.65		male		
	Drosophila	insignita	sensu lato	n. sp,				female		
	Drosophila	intermedia	sensu lato	n sp	3	3.4		male		
	Drosophila	intermedia	sensu lato	n sp				female		
Trogloscaptomyza	Scaptomyza	intricata	Frey	n sp	2.3	2.5		male		
Trogloscaptomyza	Scaptomyza	intricata	Frey	n sp	2.5	2.8		female		
	Drosophila	involuta	sensu lato	n sp	3.2	3.6		male		
	Drosophila	involuta	sensu lato	n sp				female		
	Drosophila	ischnotrix	sensu lato	n sp	1.75-2.50	2.00-2.30		male		
	Drosophila	ischnotrix	sensu lato	n sp			2.30-2.65	female		
Trogloscaptomyza	Scaptomyza	isopedon	Frey	n sp	2.2	2.5		male		
Trogloscaptomyza	Scaptomyza	isopedon	Frey	n sp	2.5	2.8		female		
	Drosophila	joycei	sensu lato	n sp	3.8	4		male		
	Drosophila	joycei	sensu lato	n sp				female		
	Titanochaeta	kauaiensis	Knab	n sp			1.9-2.0	male		
	Titanochaeta	kauaiensis	Knab	n sp				female		
Trogloscaptomyza	Scaptomyza	kauaiensis	Frey	Hackman	2.3	2.65		male		
Trogloscaptomyza	Scaptomyza	kauaiensis	Frey	Hackman	2.35	2.75		female		
	Drosophila	kauluai	sensu lato	Bryan	2.8-3.0	3.3-3.5		male		
	Drosophila	kauluai	sensu lato	Bryan				female		
	Drosophila	kraussi	sensu lato	n sp			3.6	male		
	Drosophila	kraussi	sensu lato	n sp				female		
	Drosophila	laciniosa	sensu lato	n sp				male		
	Drosophila	laciniosa	sensu lato	n sp				female		
	Drosophila	lanaiensis	sensu lato	Grimshaw			4.30-4.75	male		
	Drosophila	lanaiensis	sensu lato	Grimshaw		6.00-6.70	4.30-4.75	female		
	Drosophila	larifuga	sensu lato	n sp	2	2.25		male		
	Drosophila	larifuga	sensu lato	n sp				female		
	Drosophila	latigena	sensu lato	n sp			2.75	male		
	Drosophila	latigena	sensu lato	n sp				female		
Trogloscaptomyza	Scaptomyza	latitergum	Frey	n sp	2.8	3		male		
Trogloscaptomyza	Scaptomyza	latitergum	Frey	n sp	3.2	3.35		female		
	Drosophila	lemniscata	sensu lato	n sp	3.0-3.2	3.7		male		
