genus	subgenus	group	species	host_group	host_family	host_genus	host_species	substrate	records	individuals	island	references	notes
Drosophila		planitibia	substenoptera	seed plants	Araliaceae	Cheirodendron	platyphyllum	bark	1	3	O	15	
Drosophila		planitibia	oahuensis	seed plants	Araliaceae	Tetraplasandra		bark	2	4	O	15	
Drosophila		planitibia	setosifrons	seed plants	Araliaceae	Tetraplasandra	hawaiensis	bark	2	4	H	15	
Drosophila		planitibia	silvestris	seed plants	Araliaceae	Cheirodendron	trigynum	bark	3	10	H	15,24	
Drosophila		planitibia	oahuensis	seed plants	Araliaceae	Tetraplasandra	oahuensis	bark	3	11	O	15	
Drosophila		planitibia	melancephala	seed plants	Araliaceae	Tetraplasandra	oahuensis	bark	2	14	M	15	
Drosophila		planitibia	substenoptera	seed plants	Araliaceae	Cheirodendron		bark	1	34	O	15	
Drosophila		planitibia	oahuensis	seed plants	Araliaceae	Cheirodendron		bark	1	51	O	15	
Drosophila		planitibia	nigribasis	seed plants	Araliaceae	Cheirodendron	platyphyllum	bark, stem	3	6	O	15	
Drosophila		planitibia	oahuensis	seed plants	Araliaceae	Tetraplasandra		leaf	1	1	O	15	
Drosophila		planitibia	heteroneura	seed plants	Araliaceae	Cheirodendron	trigynum	stem	1	4	H	15	
Drosophila		planitibia	neopicta	seed plants	Araliaceae	Tetraplasandra	kavaiensis	stem	1	14	M	15	
Drosophila		primaeva	primaeva	seed plants	Araliaceae	Cheirodendron		bark	1	5	K	15	
Drosophila		primaeva	primaeva	seed plants	Araliaceae	Tetraplasandra		bark	1	9	K	15	
Drosophila		quasianomalipes	quasianomalipes	seed plants	Araliaceae	Tetraplasandra		bark	1	1	K	15	
Drosophila		quasianomalipes	quasianomalipes	seed plants	Araliaceae	Cheirodendron		bark	2	9	K	15	
Drosophila		split tarsus	attenuata	seed plants	Araliaceae	Cheirodendron	trigynum	bark	1	2	H	24	
Drosophila		split tarsus	attenuata	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	1	1	H	12	
Drosophila		split tarsus	cracens	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	1	1	M	12	
Drosophila		split tarsus	K14a	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	1	1	H	12	n. sp. #4 nr. cracens in 12
Drosophila		split tarsus	cnecopleura	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	2	2	H	12	
Drosophila		split tarsus	fundita	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	3	4	ML	12	
Drosophila		split tarsus	K19	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	1	4	H	12	n. sp. #3 nr. cracens in 12
Drosophila		split tarsus	variabilis	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	2	9	M,Mo	12	
Drosophila		split tarsus	clavata	seed plants	Araliaceae	Tetraplasandra		leaf	2	16	O	24	
Drosophila		split tarsus	cornutitarsus	seed plants	Araliaceae	Tetraplasandra		leaf	1	16	M	19	
Drosophila		split tarsus	ancyla	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	2	31	M	12	
Drosophila		split tarsus	spiethi	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	4	65	H	12,18	
Drosophila		spoon tarsus	neutralis	seed plants	Araliaceae	Tetraplasandra	oahuensis	bark	1	2	H	24	
Drosophila		spoon tarsus	neutralis	seed plants	Araliaceae	Cheirodendron	trigynum	bark	2	3	H	24	
Drosophila		spoon tarsus	G87a	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	1	1	H	12	n. sp. #1 nr. neutralis in 12
Drosophila		spoon tarsus	waddingtoni	seed plants	Araliaceae	Tetraplasandra		leaf	1	1	M	12	
Drosophila		spoon tarsus	mimiconformis	seed plants	Araliaceae	Tetraplasandra		leaf	1	2	Mo	12	
Drosophila		spoon tarsus	G41a_G45_G59a	seed plants	Araliaceae	Tetraplasandra		leaf	1	3	L	12	n. sp. #3 nr. mimiconformis in 12
Drosophila		spoon tarsus	sordidapex	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	1	3	H	12	
Drosophila		spoon tarsus	G80b	seed plants	Araliaceae	Tetraplasandra		leaf	1	4	M	12	n. sp. rel. mimiconformis in 12
Drosophila		spoon tarsus	mimiconformis	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	2	6	M,Mo	12	
Drosophila		spoon tarsus	sp_1	seed plants	Araliaceae	Tetraplasandra	oahuensis	leaf	4	7	H	24	
Drosophila		spoon tarsus	septuosa	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	3	10	H	12	
Drosophila		spoon tarsus	septuosa	seed plants	Araliaceae	Tetraplasandra	oahuensis	leaf	4	22	H	24	
Drosophila		spoon tarsus	neutralis	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	8	35	H	12,18	
Drosophila		spoon tarsus	dasycnemia	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	9	43	H	12,18	
