genus	species	describer	sex	type	4C	4V	5X	CI	HW	HW/TL	M	N	TL	TL/WL	WL	pupal_length
Drosophila	paraanthrax	n sp	male		0.6 (0.5-0.7)	1.5 (1.4-1.7)	1.8 (1.5-2.1)	4.2 (3.9-4.6)	0.9  (0.7-1.0)	0.8	0.5 (0.4-0.5)	11	1.1  (0.9-1.2)	0.4 (0.4-0.5)	2.5	
Drosophila	polita	Grimshaw 1901: 71	female		0.6 (0.4-0.6)	1.4 (1.3-1.5)	1.9 (1.7-2.2)	4.5 (4.0-5.5)	1.0  (0.9-1.1)	0.8 (0.8-0.9)	0.5 (0.4-0.5)	8	1.4  (1.2-1.6)	0.4 (0.4-0.5)	3.1  (2.7-3.3)	
Drosophila	pretiosa	Hardy 1965: 423	female		0.4	1.3	1.6	5.5	1.1	0.8	0.4	1	1.3	0.4	2.9	
Drosophila	pretiosa	Hardy 1965: 423	male		0.6	1.4 (1.3-1.4)	1.9(1.8-2.0)	3.9 (3.8-3.9)	0.8 (0.8-0.9)	0.8	0.5	2	1.1  (1.0-1.1)	0.5	2.1  (2.0-2.1)	
Drosophila	quinqueramosa	n sp	male	MAUI: Holotype male, Kaupo Gap, Haleakala, 4750 ft., 19.vi.1975, KYK, BPBM16365	0.6	1.6	1.7	4.2	0.9	0.8	0.3	NA	1.1	0.5	2.3	
Drosophila	quinqueramosa	n sp	male		0.6 (0.5-0.6)	1.5 (1.4-1.6)	2.1 (1.7-2.3)	4.3 (3.7-4.9)	0.9  (0.7-0.9)	0.8	0.5 (0.3-0.6)	11	1.1  (0.9-1.1)	0.4 (0.4-0.5)	2.4  (2.2-2.7)	
Drosophila	retrusa	Hardy 1965: 450	male		0.5	1.3	1.9	4.4	0.8	0.8	0.4	1	1.2	0.5	2.3	
Drosophila	scitula	Hardy 1966: 213	male		0.6 (0.6-0.7)	1.4 (1.3-1.5)	1.7 (1.6-1.8)	3.5 (3.4-3.7)	0.8  (0.7-0.9)	0.9	0.4 (0.3-0.4)	4	1.2  (1.2-1.3)	0.5	2.5  (2.3-2.7)	
Drosophila	seorsa	Hardy 1965: 461	male	MAUI: Holotype male, Paliku, Haleakala Crater, vi.1952, MT, BPBM 6442	0.5	1.6	1.8	4.5	0.9	NA	0.5	NA	1.1	0.5	2.4	
Drosophila	setositibia	n sp	female	Allotype female, samecollection as type, BPBM 16370a	0.5	1.3	1.5	4.5	1.1	0.8	0.4	NA	1.4	0.5	3	
Drosophila	setositibia	n sp	female		0.5	1.3	1.5	4.5	1.1	0.8	0.4	1	1.4	0.5	3	
Drosophila	setositibia	n sp	male	KAUA`I: Holotype male, Power Line Road, “in Pisonia grove,” 1150 ft., vi.1977,DEH, BPBM 16370	0.6	1.4	1.7	3.5	0.9	0.8	0.4	NA	1.2	0.5	2.3	
